time,count,details
1552117303738,1,"{""0"": {""is_register"": ""1"", ""station_id"": ""205765250"", ""mobile_country_code"": ""460"", ""mobile_network_code"": ""0"", ""physical_cell_id"": ""124"", ""tracking_area_code"": ""9366"", ""asu_level"": ""41"", ""reference_signal_received_power"": ""-99"", ""signal_level"": ""3""}}"
1552117304773,1,"{""0"": {""is_register"": ""1"", ""station_id"": ""205765250"", ""mobile_country_code"": ""460"", ""mobile_network_code"": ""0"", ""physical_cell_id"": ""124"", ""tracking_area_code"": ""9366"", ""asu_level"": ""41"", ""reference_signal_received_power"": ""-99"", ""signal_level"": ""3""}}"
1552117305783,1,"{""0"": {""is_register"": ""1"", ""station_id"": ""205765250"", ""mobile_country_code"": ""460"", ""mobile_network_code"": ""0"", ""physical_cell_id"": ""124"", ""tracking_area_code"": ""9366"", ""asu_level"": ""55"", ""reference_signal_received_power"": ""-85"", ""signal_level"": ""4""}}"
1552117306798,1,"{""0"": {""is_register"": ""1"", ""station_id"": ""205765250"", ""mobile_country_code"": ""460"", ""mobile_network_code"": ""0"", ""physical_cell_id"": ""124"", ""tracking_area_code"": ""9366"", ""asu_level"": ""55"", ""reference_signal_received_power"": ""-85"", ""signal_level"": ""4""}}"
1552117307834,1,"{""0"": {""is_register"": ""1"", ""station_id"": ""205765250"", ""mobile_country_code"": ""460"", ""mobile_network_code"": ""0"", ""physical_cell_id"": ""124"", ""tracking_area_code"": ""9366"", ""asu_level"": ""56"", ""reference_signal_received_power"": ""-84"", ""signal_level"": ""4""}}"
1552117308850,1,"{""0"": {""is_register"": ""1"", ""station_id"": ""205765250"", ""mobile_country_code"": ""460"", ""mobile_network_code"": ""0"", ""physical_cell_id"": ""124"", ""tracking_area_code"": ""9366"", ""asu_level"": ""56"", ""reference_signal_received_power"": ""-84"", ""signal_level"": ""4""}}"
1552117309876,1,"{""0"": {""is_register"": ""1"", ""station_id"": ""205765250"", ""mobile_country_code"": ""460"", ""mobile_network_code"": ""0"", ""physical_cell_id"": ""124"", ""tracking_area_code"": ""9366"", ""asu_level"": ""59"", ""reference_signal_received_power"": ""-81"", ""signal_level"": ""4""}}"
1552117310900,1,"{""0"": {""is_register"": ""1"", ""station_id"": ""205765250"", ""mobile_country_code"": ""460"", ""mobile_network_code"": ""0"", ""physical_cell_id"": ""124"", ""tracking_area_code"": ""9366"", ""asu_level"": ""59"", ""reference_signal_received_power"": ""-81"", ""signal_level"": ""4""}}"
1552117311934,1,"{""0"": {""is_register"": ""1"", ""station_id"": ""205765250"", ""mobile_country_code"": ""460"", ""mobile_network_code"": ""0"", ""physical_cell_id"": ""124"", ""tracking_area_code"": ""9366"", ""asu_level"": ""53"", ""reference_signal_received_power"": ""-87"", ""signal_level"": ""4""}}"
1552117312957,1,"{""0"": {""is_register"": ""1"", ""station_id"": ""205765250"", ""mobile_country_code"": ""460"", ""mobile_network_code"": ""0"", ""physical_cell_id"": ""124"", ""tracking_area_code"": ""9366"", ""asu_level"": ""53"", ""reference_signal_received_power"": ""-87"", ""signal_level"": ""4""}}"
1552117313973,1,"{""0"": {""is_register"": ""1"", ""station_id"": ""205765250"", ""mobile_country_code"": ""460"", ""mobile_network_code"": ""0"", ""physical_cell_id"": ""124"", ""tracking_area_code"": ""9366"", ""asu_level"": ""53"", ""reference_signal_received_power"": ""-87"", ""signal_level"": ""4""}}"
1552117314990,1,"{""0"": {""is_register"": ""1"", ""station_id"": ""205765250"", ""mobile_country_code"": ""460"", ""mobile_network_code"": ""0"", ""physical_cell_id"": ""124"", ""tracking_area_code"": ""9366"", ""asu_level"": ""53"", ""reference_signal_received_power"": ""-87"", ""signal_level"": ""4""}}"
1552117316035,1,"{""0"": {""is_register"": ""1"", ""station_id"": ""205765250"", ""mobile_country_code"": ""460"", ""mobile_network_code"": ""0"", ""physical_cell_id"": ""124"", ""tracking_area_code"": ""9366"", ""asu_level"": ""52"", ""reference_signal_received_power"": ""-88"", ""signal_level"": ""4""}}"
1552117317059,1,"{""0"": {""is_register"": ""1"", ""station_id"": ""205765250"", ""mobile_country_code"": ""460"", ""mobile_network_code"": ""0"", ""physical_cell_id"": ""124"", ""tracking_area_code"": ""9366"", ""asu_level"": ""52"", ""reference_signal_received_power"": ""-88"", ""signal_level"": ""4""}}"
1552117318101,1,"{""0"": {""is_register"": ""1"", ""station_id"": ""205765250"", ""mobile_country_code"": ""460"", ""mobile_network_code"": ""0"", ""physical_cell_id"": ""124"", ""tracking_area_code"": ""9366"", ""asu_level"": ""52"", ""reference_signal_received_power"": ""-88"", ""signal_level"": ""4""}}"
1552117319127,1,"{""0"": {""is_register"": ""1"", ""station_id"": ""205765250"", ""mobile_country_code"": ""460"", ""mobile_network_code"": ""0"", ""physical_cell_id"": ""124"", ""tracking_area_code"": ""9366"", ""asu_level"": ""52"", ""reference_signal_received_power"": ""-88"", ""signal_level"": ""4""}}"
1552117320156,1,"{""0"": {""is_register"": ""1"", ""station_id"": ""205765250"", ""mobile_country_code"": ""460"", ""mobile_network_code"": ""0"", ""physical_cell_id"": ""124"", ""tracking_area_code"": ""9366"", ""asu_level"": ""49"", ""reference_signal_received_power"": ""-91"", ""signal_level"": ""4""}}"
1552117321177,1,"{""0"": {""is_register"": ""1"", ""station_id"": ""205765250"", ""mobile_country_code"": ""460"", ""mobile_network_code"": ""0"", ""physical_cell_id"": ""124"", ""tracking_area_code"": ""9366"", ""asu_level"": ""49"", ""reference_signal_received_power"": ""-91"", ""signal_level"": ""4""}}"
1552117322209,1,"{""0"": {""is_register"": ""1"", ""station_id"": ""205765250"", ""mobile_country_code"": ""460"", ""mobile_network_code"": ""0"", ""physical_cell_id"": ""124"", ""tracking_area_code"": ""9366"", ""asu_level"": ""50"", ""reference_signal_received_power"": ""-90"", ""signal_level"": ""4""}}"
1552117323221,1,"{""0"": {""is_register"": ""1"", ""station_id"": ""205765250"", ""mobile_country_code"": ""460"", ""mobile_network_code"": ""0"", ""physical_cell_id"": ""124"", ""tracking_area_code"": ""9366"", ""asu_level"": ""50"", ""reference_signal_received_power"": ""-90"", ""signal_level"": ""4""}}"
1552117324237,1,"{""0"": {""is_register"": ""1"", ""station_id"": ""205765250"", ""mobile_country_code"": ""460"", ""mobile_network_code"": ""0"", ""physical_cell_id"": ""124"", ""tracking_area_code"": ""9366"", ""asu_level"": ""50"", ""reference_signal_received_power"": ""-90"", ""signal_level"": ""4""}}"
1552117325272,1,"{""0"": {""is_register"": ""1"", ""station_id"": ""205765250"", ""mobile_country_code"": ""460"", ""mobile_network_code"": ""0"", ""physical_cell_id"": ""124"", ""tracking_area_code"": ""9366"", ""asu_level"": ""50"", ""reference_signal_received_power"": ""-90"", ""signal_level"": ""4""}}"
1552117326287,1,"{""0"": {""is_register"": ""1"", ""station_id"": ""205765250"", ""mobile_country_code"": ""460"", ""mobile_network_code"": ""0"", ""physical_cell_id"": ""124"", ""tracking_area_code"": ""9366"", ""asu_level"": ""51"", ""reference_signal_received_power"": ""-89"", ""signal_level"": ""4""}}"
1552117327299,1,"{""0"": {""is_register"": ""1"", ""station_id"": ""205765250"", ""mobile_country_code"": ""460"", ""mobile_network_code"": ""0"", ""physical_cell_id"": ""124"", ""tracking_area_code"": ""9366"", ""asu_level"": ""51"", ""reference_signal_received_power"": ""-89"", ""signal_level"": ""4""}}"
1552117328404,1,"{""0"": {""is_register"": ""1"", ""station_id"": ""205765250"", ""mobile_country_code"": ""460"", ""mobile_network_code"": ""0"", ""physical_cell_id"": ""124"", ""tracking_area_code"": ""9366"", ""asu_level"": ""50"", ""reference_signal_received_power"": ""-90"", ""signal_level"": ""4""}}"
1552117329417,1,"{""0"": {""is_register"": ""1"", ""station_id"": ""205765250"", ""mobile_country_code"": ""460"", ""mobile_network_code"": ""0"", ""physical_cell_id"": ""124"", ""tracking_area_code"": ""9366"", ""asu_level"": ""50"", ""reference_signal_received_power"": ""-90"", ""signal_level"": ""4""}}"
1552117330431,1,"{""0"": {""is_register"": ""1"", ""station_id"": ""205765250"", ""mobile_country_code"": ""460"", ""mobile_network_code"": ""0"", ""physical_cell_id"": ""124"", ""tracking_area_code"": ""9366"", ""asu_level"": ""52"", ""reference_signal_received_power"": ""-88"", ""signal_level"": ""4""}}"
1552117331442,1,"{""0"": {""is_register"": ""1"", ""station_id"": ""205765250"", ""mobile_country_code"": ""460"", ""mobile_network_code"": ""0"", ""physical_cell_id"": ""124"", ""tracking_area_code"": ""9366"", ""asu_level"": ""52"", ""reference_signal_received_power"": ""-88"", ""signal_level"": ""4""}}"
1552117332460,1,"{""0"": {""is_register"": ""1"", ""station_id"": ""205765250"", ""mobile_country_code"": ""460"", ""mobile_network_code"": ""0"", ""physical_cell_id"": ""124"", ""tracking_area_code"": ""9366"", ""asu_level"": ""51"", ""reference_signal_received_power"": ""-89"", ""signal_level"": ""4""}}"
